author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/313640113/,Москва,sale,flat,6,41,1,40.1,-1,0,35500000,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/315253252/,Москва,sale,flat,71,79,1,79.0,-1,0,75000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/316185469/,Москва,sale,flat,20,22,1,38.6,-1,0,11500000,Северное Медведково, Тихомирова,3,Медведково,
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/315657059/,Москва,sale,flat,32,41,1,43.0,-1,0,30800000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/309525051/,Москва,sale,flat,2,40,1,40.2,-1,0,32500000,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
Простор-недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/316267999/,Москва,sale,flat,9,12,1,34.9,-1,0,13900000,Басманный,Плетешковский переулок,18-20к2,Бауманская,
Юлия Шмелева,realtor,https://www.cian.ru/sale/flat/316361330/,Москва,sale,flat,5,12,1,35.1,-1,0,17500000,Даниловский, Сайкина,2,Автозаводская,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/315263849/,Москва,sale,flat,11,12,1,61.3,-1,0,42900000,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская
OPN PARTNER,real_estate_agent,https://www.cian.ru/sale/flat/310107816/,Москва,sale,flat,6,12,1,40.0,-1,0,8490000,, Харлампиева,52к1,Филатов Луг,Спортивный квартал
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/316110068/,Москва,sale,flat,13,41,1,43.1,-1,0,21700000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
Времена года,real_estate_agent,https://www.cian.ru/sale/flat/315443321/,Москва,sale,flat,5,6,1,29.0,-1,0,37000000,Хамовники,Зубовская ,7,Парк Культуры,Roza Rossa
ID 96167522,realtor,https://www.cian.ru/sale/flat/294926973/,Москва,sale,flat,7,9,1,36.9,-1,0,8800000,Люблино, Верхние Поля,27С2,Братиславская,
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/316324230/,Москва,sale,flat,2,8,1,57.7,-1,0,78000000,Таганский,Тессинский переулок,1,Чкаловская,"Тессинский, 1"
